What is a lawful permanent resident?,Non-citizen authorized to live permanently in the US,A green card holder,合法永久居民,Someone living in the US with Temporary Protected Status (TPS),Someone who has lived in the US for a long time,Someone who is applying for citizenship,1
"What does ""swear"" mean?",To promise to tell the truth,To take an oath,发誓,To tell the truth,To fool someone,To testify something is true,1
What does claimed to be a US citizen mean?,To tell someone you are a citizen when you are not,,,To call someone a US citizen,To be called a US citizen,To fake an ID,1
"What is a ""home address""?",The place where you live,Home,家,The place where family members live,The place where you go to work everyday,The address of your childhood school,1
How long does an unmarried person need to hold a green card to apply for citizenship?,5 years,五年,,3 years,2 years,1 year,1
What is an occupation?,Job/professional career,你的工作,,Hobbies that you enjoy doing,People that you enjoy talking to,Places you like to go,1
What does it meant to be retired?,To have left one's job and ceased working,退休,,To be working only part time,To be unemployed but looking for a job,To be fired from a job,1
"If your spouse is a US citizen, how long do you need to hold a green card to apply for citizenship?",3 years,三年,,5 years,2 years,1 year,1
What does it mean to spend time outside of the US?,Leave the country for travel/work/family,,,To travel to another state,To travel to another city,To go to work,1
"What does ""marital status"" mean?",Whether one is married or not,,,Whether you have been divorced or not,Whether you have been married in the past,Whether you have dated before,1
What does it mean for a marriage to be annulled?,To be declared legally invalid,,,To be declared legally valid,To be supported,To be opposed by parents,1
How did you get here today?,I came here by subway.,I came here by bus.,I drove here.,I left my house.,I came here by airplane.,The weather is nice.,1
"What has the same meaning as ""Did you come by yourself?""",Did you come alone?,,,Which line did you take?,Why are you here?,Do you have your appointment notice?,1
"What could ""I am here to take the citizenship test."" be an answer to?",Why are you here?,What is your reason for being here?,Do you know what you are doing here?,How is the weather today?,What do you like to do?,How tall are you?,1
How is the weather today?,It is sunny.,It is a bit hot.,It is windy.,It is red.,It is big.,It is happy.,1
"What does ""pardon"" mean?",Please repeat yourself.,What did you say?,,How do you feel?,What did you sing?,Have you been waiting a long time?,1
Please translate: 你等了很久吗？,Have you been waiting a long time?,,,How long did it take?,How much time did you waste?,I hope you didn't wait for too long.,1
"What is another word for ""lawyer""?",Attorney,律师,,Doctor,医生,老师,1
What documents did you bring?,ID,Passport,Appointment notice,Wallet,Book,Birthday card,1
Please translate: 你在哪儿入的境？,Where did you enter the US?,,,Where did you travel?,What places have you been to in the US?,What's your favorite vacation spot?,1
Why do you like living in America?,The air is good.,The education is good.,I like the freedom.,I miss my home.,I like Chinese food.,I like to visit the US.,1
Please translate: 社会福利,Welfare,,,Social Security number,Passport,Prison,1
How much is rent each month? ,___ dollars,,,___ Euros,___ million dollars,___ cents,1
"What has the same meaning as ""Who helped you fill out your N-400 application?""",Who helped you complete your N-400 application?,,,Who helped you watch your N-400 application?,Who helped you sing your N-400 application?,Who helped you erase your N-400 application?,1
"What is a ""lawful permanent resident""?",合法永久居民,持绿卡者,,移民,公民,旅游者,2
"Please translate: ""你是在申请服兵役吗?""",Are you applying for qualifying military service?,,,Are you applying for welfare?,Are you looking for your documents?,Are you a lawful permanent resident?,2
"Please translate: ""你参过美国的军吗?""",Have you ever served in the U.S. military?,,,Have you ever paid taxes?,Are you applying for qualifying military service?,Have you ever served in any military?,2
"What is a ""full legal name""?",法定全名,,,姓名,职业位置,名片,2
"What has the same meaning as ""你生日是什么时候?""",What is your birthday?,When is your date of birth?,When were you born?,Where were you born?,How old are you?,When did you enter the US?,2
"What could ""I am from China/Taiwan."" be an answer to?",Which country are you from?,Where are you from?,,Where do you like to go for vacation?,What food do you like?,Where do you live?,2
"What are examples of ""nationality""?",Chinese,American,Canadian,China,Asian,Hispanic/Latino,2
"What does ""disabled or impaired"" mean?",残疾,,,丧偶,退休,累,2
"What is a ""home address/residence""?",家庭住址,,,房子,公寓,学校地址,2
"What is a possible question to ""I am 5' 9"".""?",What is your height?,How tall are you?,,How old are you?,How long is your table?,What color is your hair?,2
"Which of these also mean ""job""?",职业,Occupation,Profession,Spouse,Doctor,Retired,2
"Please translate: ""雇主""",Employer,,,Teacher,Friend,Employee,2
"What is the definition of the word ""claim""?",To say or declare.,,,To sign up.,To agree.,To file a document.,3
What does “register” mean?,To sign up.,注册,,投票,To write.,To vote.,3
What is the meaning of “vote”?,To participate in an election.,投票,,A vote held for a political position.,选举,To run for office.,3
What is an election?,A vote held for a political position.,,,To participate in an election.,A person who works for the government.,A census.,3
What does it mean to be “foreign”?,Describes a country other than the US.,Non-native.,,Native.,国内的,Home country.,3
What is a title of nobility?,When a person has a title given by descent or by royal decree.,Like a king or a queen.,贵族头衔,A given name.,Mr. or Mrs.,Foreign.,3
